ลำดับที่,สำนักงานชลประทาน,สถานี,ชื่อสถานี,Code,ลุ่มน้ำ,แม่น้ำ,อำเภอ,จังหวัด,"ระดับตลิ่ง
(เมตร)","ความจุฯ
ลบ.ม/วิ","ศูนย์เสาระดับ
ม.(ร.ท.ก.)"
521,สำนักงานชลประทานที่ 15,X.289,วัดถลุงทอง,,ภาคใต้ฝั่งตะวันออกตอนบน,คลองเสาธง,ร่อนพิบูลย์,นครศรีธรรมราช,,,
522,สำนักงานชลประทานที่ 16,X.44  ,บ้านหาดใหญ่ใน,,ทะเลสาบสงขลา,คลองอู่ตะเภา,หาดใหญ่,สงขลา,7.4,530.0,0.0
523,สำนักงานชลประทานที่ 16,X.67A,บ้านนาสีทอง,,ทะเลสาบสงขลา,คลองรัตภูมิ,รัตภูมิ,สงขลา,,,
524,สำนักงานชลประทานที่ 16,X.68,บ้านท่าแค,,ทะเลสาบสงขลา,คลองท่าแค,เมืองพัทลุง,พัทลุง,15.6,60.0,0.0
525,สำนักงานชลประทานที่ 16,X.71B,บ้านควนลัง,,ทะเลสาบสงขลา,คลองต่ำ,หาดใหญ่,สงขลา,,,
526,สำนักงานชลประทานที่ 16,X.90,บ้านบางศาลา,,ทะเลสาบสงขลา,คลองอู่ตะเภา,คลองหอยโข่ง,สงขลา,9.53,904.6,0.0
527,สำนักงานชลประทานที่ 16,X.112,บ้านตะเคียนเภา,,ทะเลสาบสงขลา,คลองอู่ตะเภา,สะเดา,สงขลา,,,
528,สำนักงานชลประทานที่ 16,X.113,บ้านทุ่งปราบ,,ทะเลสาบสงขลา,คลองหล้าปัง,สะเดา,สงขลา,,,
529,สำนักงานชลประทานที่ 16,X.129,บ้านคลองอีโต,,ทะเลสาบสงขลา,คลองอีโต,บางแก้ว,พัทลุง,,,
530,สำนักงานชลประทานที่ 16,X.170,บ้านคลองลำ,,ทะเลสาบสงขลา,คลองลำ,ศรีนครินทร์,พัทลุง,25.2,342.0,0.0
531,สำนักงานชลประทานที่ 16,X.173A,บ้านม่วงก็อง,,ทะเลสาบสงขลา,คลองอู่ตะเภา,สะเดา,สงขลา,16.13,262.3,0.0
532,สำนักงานชลประทานที่ 16,X.174,บ้านคลองหวะ,,ทะเลสาบสงขลา,คลองหวะ,หาดใหญ่,สงขลา,,,
533,สำนักงานชลประทานที่ 16,X.181,บ้านหาร,,ทะเลสาบสงขลา,คลองอู่ตะเภา,บางกล่ำ,สงขลา,,,
534,สำนักงานชลประทานที่ 16,X.240,บ้านหูแร่,,ทะเลสาบสงขลา,คลองวาด (บน),หาดใหญ่,สงขลา,,,
535,สำนักงานชลประทานที่ 16,X.265,หน้าวัดภูผาพิมุข,,ทะเลสาบสงขลา,คลองนุ้ย,เมืองพัทลุง,พัทลุง,,,
536,สำนักงานชลประทานที่ 16,X.267,บ้านแม่ขรี,,ทะเลสาบสงขลา,คลองท่าเชียด,ตะโหมด,พัทลุง,,,
537,สำนักงานชลประทานที่ 16,X.276,บ้านเขาปู่,,ทะเลสาบสงขลา,คลองท่าแนะ (บน),ศรีบรรพต,พัทลุง,,,
538,สำนักงานชลประทานที่ 16,X.277,บ้านพิกุลทอง,,ทะเลสาบสงขลา,คลองท่าแนะ (ล่าง),ควนขนุน,พัทลุง,,,
539,สำนักงานชลประทานที่ 16,X.282,ตลาดนาทวี,,ทะเลสาบสงขลา,คลองนาทวี,นาทวี,สงขลา,,,
540,สำนักงานชลประทานที่ 17,X.10A,สะพานเดชานุชิต,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานี,เมืองปัตตานี,ปัตตานี,,,
541,สำนักงานชลประทานที่ 17,X.40A,บ้านท่าสาป,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานี,เมืองยะลา,ยะลา,,,
542,สำนักงานชลประทานที่ 17,X.40B,ท้ายเขื่อนปัตตานี,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานี,เมืองยะลา,ยะลา,,,
543,สำนักงานชลประทานที่ 17,X.73,บ้านตันหยงมัส,,ภาคใต้ฝั่งตะวันออกตอนล่าง,คลองตันหยงมัส,ระแงะ,นราธิวาส,,,
544,สำนักงานชลประทานที่ 17,X.73A,บ้านบองอ,,ภาคใต้ฝั่งตะวันออกตอนล่าง,คลองตันหยงมัส,ระแงะ,นราธิวาส,,,
545,สำนักงานชลประทานที่ 17,X.77,บ้านหัวสะพาน,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานี,บันนังสตา,ยะลา,,,
546,สำนักงานชลประทานที่ 17,X.119 ,บ้านมูโน๊ะ,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำโก-ลก,สุไหงโก-ลก,นราธิวาส,,,
547,สำนักงานชลประทานที่ 17,X.119A,บริเวณสะพานลันตู,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำโก-ลก,สุไหงโก-ลก,นราธิวาส,9.3,318.0,0.0
548,สำนักงานชลประทานที่ 17,X.184,บ้านซากอ,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำสายบุรี,ศรีสาคร,นราธิวาส,,,
549,สำนักงานชลประทานที่ 17,X.199,บ้านท่าเรือ,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำสายบุรี,รือเสาะ,นราธิวาส,,,
550,สำนักงานชลประทานที่ 17,X.272,บ้านลาคอ,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำสายบุรี,สายบุรี,ปัตตานี,,,
551,สำนักงานชลประทานที่ 17,X.273,บ้านปายอยือนิ,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำสายบุรี,รามัน,ยะลา,,,
552,สำนักงานชลประทานที่ 17,X.274,บ้านบูเก๊ะตา,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำโก-ลก,แว้ง,นราธิวาส,23.5,233.0,0.0
553,สำนักงานชลประทานที่ 17,X.275,บ้านบริดอ,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานี,เมืองปัตตานี,ปัตตานี,,,
554,สำนักงานชลประทานที่ 17,X.283,บ้านปรีกี,,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำปัตตานี,ยะรัง,ปัตตานี,,,
555,สำนักงานชลประทานที่ 16,X.47,บ้านท่าจีน,,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง,เมืองตรัง,ตรัง,,,
556,สำนักงานชลประทานที่ 16,X.56,บ้านท่าประดู่,,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง,ห้วยยอด,ตรัง,15.7,448.0,0.0
557,สำนักงานชลประทานที่ 16,X.139A,บ้านปะเหลียนใน,,ภาคใต้ฝั่งตะวันตก,คลองปะเหลียน,ปะเหลียน,ตรัง,,,
558,สำนักงานชลประทานที่ 16,X.150,บ้านวังพระเคียน,,ภาคใต้ฝั่งตะวันตก,คลองละงู,ละงู,สตูล,12.8,282.0,0.0
559,สำนักงานชลประทานที่ 15,X.186,บ้านตลาดเก่า,,ภาคใต้ฝั่งตะวันตก,คลองตะกั่วป่า,ตะกั่วป่า,พังงา,4.4,694.0,0.0
560,สำนักงานชลประทานที่ 15,X.187,บ้านหินดาน,,ภาคใต้ฝั่งตะวันตก,คลองตะกั่วป่า,ตะกั่วป่า,พังงา,,,
561,สำนักงานชลประทานที่ 15,X.188A,บ้านรมณีย์,,ภาคใต้ฝั่งตะวันตก,คลองรมณีย์,กะปง,พังงา,17.46,169.3,0.0
562,สำนักงานชลประทานที่ 15,X.190A,บ้านเก็ตโฮ่,,ภาคใต้ฝั่งตะวันตก,คลองบางใหญ่ (บน),กระทู้,ภูเก็ต,,,
563,สำนักงานชลประทานที่ 15,X.191,โรงเรียนสตรีภูเก็ต,,ภาคใต้ฝั่งตะวันตก,คลองบางใหญ่ (ล่าง),เมืองภูเก็ต,ภูเก็ต,,,
564,สำนักงานชลประทานที่ 15,X.196,บ้านท่านา,,ภาคใต้ฝั่งตะวันตก,คลองกะปง,กะปง,พังงา,,,
565,สำนักงานชลประทานที่ 14,X.207,บ้านน้ำจืด,,ภาคใต้ฝั่งตะวันตก,คลองบางน้ำจืด,กระบุรี,ระนอง,,,
566,สำนักงานชลประทานที่ 14,X.208A,บ้านทุ่งใหญ่,,ภาคใต้ฝั่งตะวันตก,คลองกะเปอร์,กะเปอร์,ระนอง,,,
567,สำนักงานชลประทานที่ 14,X.209,ถนนเพชรเกษม,,ภาคใต้ฝั่งตะวันตก,คลองหาดส้มแป้น(ล่าง),เมืองระนอง,ระนอง,,,
568,สำนักงานชลประทานที่ 16,X.228,บ้านกลาง,,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง,เมืองตรัง,ตรัง,,,
569,สำนักงานชลประทานที่ 16,X.231A,ชุมชนประชาบำรุง,,ภาคใต้ฝั่งตะวันตก,คลองละงู,ละงู,สตูล,3.0,0.0,0.0
570,สำนักงานชลประทานที่ 16,X.233,บ้านไสหาร,,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง,ห้วยยอด,ตรัง,,,
571,สำนักงานชลประทานที่ 16,X.234,บ้านป่าหมาก,,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง (ล่าง),เมืองตรัง,ตรัง,6.4,430.0,0.0
572,สำนักงานชลประทานที่ 16,X.236,บ้านย่านตาขาว,,ภาคใต้ฝั่งตะวันตก,คลองปะเหลียน (ล่าง),ย่านตาขาว,ตรัง,,,
573,สำนักงานชลประทานที่ 16,X.239,บ้านฉลุงเหนือ,,ภาคใต้ฝั่งตะวันตก,คลองดุสน,เมืองสตูล,สตูล,,,
574,สำนักงานชลประทานที่ 15,X.245,บ้านบางตง,,ภาคใต้ฝั่งตะวันตก,คลองพังงา,เมืองพังงา,พังงา,,,
575,สำนักงานชลประทานที่ 16,X.261,บ้านการะเกตุ,,ภาคใต้ฝั่งตะวันตก,คลองท่าแพ (บน),ควนกาหลง,สตูล,,,
576,สำนักงานชลประทานที่ 16,X.279,บ้านปันจอร์,,ภาคใต้ฝั่งตะวันตก,คลองดุสน,ควนโดน,สตูล,,,
577,สำนักงานชลประทานที่ 16,X.280,ซอยทรายทอง,,ภาคใต้ฝั่งตะวันตก,คลองดุสน,เมืองสตูล,สตูล,,,
578,สำนักงานชลประทานที่ 16,X.281,บ้านดุสน,,ภาคใต้ฝั่งตะวันตก,คลองดุสน,ควนโดน,สตูล,,,
579,สำนักงานชลประทานที่ 14,X.290A,บ้านเจ็ดท่อ,,ภาคใต้ฝั่งตะวันตก,คลองโรงหัด,เมืองระนอง,ระนอง,,,
